style_name,icon_name,icon_size,icon_color,icon_opacity,label_size,label_opacity,line_color,line_width,line_opacity,area_color,area_opacity
onlyLabel,location,0.6,#FFFFFF,0,1,1,#FFFFFF,1,0,#FFFFFF,0
lidarIcon,lidarIcon,0.6,#FFFFFF,0.8,0,1,#FFFFFF,1,100,#FFFFFF,40
wpBrandingStyle,wpBrandingStyle,0.6,#FFFFFF,0.8,0,0,#361754,1,100,#361754,40
mySemiTransparentBackgroundStyle,mySemiTransparentBackgroundStyle,0.6,#FFFFFF,0.8,0,0,#2abae2,1,100,#2abae2,40
typeDefaults,typeDefaults,0.6,#FFFFFF,0.8,0,0,#2abae2,1,100,#2abae2,40
default,default,0.6,#FFFFFF,0.8,0,0,#2abae2,1,100,#2abae2,40
whiteLine,whiteLine,0.6,#FFFFFF,0.8,0,0,#ffffff,1,100,#ffffff,40
whitePolygon,whitePolygon,0.6,#FFFFFF,0.8,0,0,#ffffff,1.666666667,100,#ffffff,40
darkRedLine,darkRedLine,0.6,#FFFFFF,0.8,0,0,#CC3A2F,1,100,#CC3A2F,40
darkRedPolygon,darkRedPolygon,0.6,#FFFFFF,0.8,0,0,#CC3A2F,1,100,#CC3A2F,40
greenLine,greenLine,0.6,#FFFFFF,0.8,0,0,#4E8801,1,100,#4E8801,40
greenPolygon,greenPolygon,0.6,#FFFFFF,0.8,0,0,#4E8801,1,100,#4E8801,40
lightGreenLine,lightGreenLine,0.6,#FFFFFF,0.8,0,0,#A3B214,1,100,#A3B214,40
lightGreenPolygon,lightGreenPolygon,0.6,#FFFFFF,0.8,0,0,#A3B214,1.666666667,100,#A3B214,40
yellowLine,yellowLine,0.6,#FFFFFF,0.8,0,0,#F3D94E,1,100,#F3D94E,40
yellowPolygon,yellowPolygon,0.6,#FFFFFF,0.8,0,0,#F3D94E,1,100,#F3D94E,40
redLine,redLine,0.6,#FFFFFF,0.8,0,0,#CC3A2F,1,100,#CC3A2F,40
